pair_model,ideology,think_outcome,delta_stage1_tokens__count,delta_stage1_tokens__mean,delta_stage1_tokens__median,delta_stage1_tokens__std,delta_visible_words__count,delta_visible_words__mean,delta_visible_words__median,delta_visible_words__std,delta_classification_entropy__count,delta_classification_entropy__mean,delta_classification_entropy__median,delta_classification_entropy__std,delta_classification_margin__count,delta_classification_margin__mean,delta_classification_margin__median,delta_classification_margin__std,delta_target_projection_expected__count,delta_target_projection_expected__mean,delta_target_projection_expected__median,delta_target_projection_expected__std,think_words_think__count,think_words_think__mean,think_words_think__median,think_words_think__std,think_hedging_present_think__count,think_hedging_present_think__mean,think_hedging_present_think__median,think_hedging_present_think__std,think_self_correction_present_think__count,think_self_correction_present_think__mean,think_self_correction_present_think__median,think_self_correction_present_think__std,think_persona_meta_present_think__count,think_persona_meta_present_think__mean,think_persona_meta_present_think__median,think_persona_meta_present_think__std
Qwen3-14B,libertarian_right,think_harm,1453,651.3620096352374,589.0,330.8764569145275,1453,-44.531314521679285,-15.0,74.72058984157978,1453,0.005545316109114583,0.0027679362848584085,0.14238599513204325,1453,-0.002382647140885539,-0.0005245428235368665,0.11983851823321214,1453,-0.4718235722586519,-0.359335538030866,0.2716542302585316,1453,563.8885065381968,504.0,270.33358122217146,1453,0.9972470750172058,1.0,0.05241409277340895,1453,0.8926359256710255,1.0,0.3096821488826188,1453,0.616655196145905,1.0,0.48636855297236586
Qwen3-14B,libertarian_right,think_rescue,2677,550.48823309675,481.0,311.5967117797966,2677,-30.29361225252148,-4.0,75.97300387097017,2677,-0.008117722751940174,0.001516562122304208,0.13969743972108598,2677,0.01033719242840338,-0.0002655367413851861,0.11622531123148817,2677,0.5886213953525727,0.46123915351434375,0.31958570595362534,2677,464.5954426596937,400.0,246.86450994867084,2677,0.980575270825551,1.0,0.1380381358060857,2677,0.8251774374299589,1.0,0.37988622358400503,2677,0.6630556593201344,1.0,0.4727539947758428
Qwen3-32B,authoritarian_left,both_aligned,9960,377.5262048192771,336.0,195.36484059808728,9960,-35.80361445783132,-16.0,63.14014226309982,9960,-0.021304495059904692,-0.004261446650859939,0.09846111411513546,9960,0.008169114847006664,0.0008205982278943758,0.0650458956773808,9960,0.010555388307364032,0.0002969053461729376,0.0602884565849588,9960,338.5491967871486,302.0,158.6136380095491,9960,0.9498995983935743,1.0,0.2181630811865519,9960,0.5528112449799196,1.0,0.4972281119111059,9960,0.6558232931726907,1.0,0.4751228958288312
Qwen3-32B,authoritarian_left,both_unaligned,4970,398.7016096579477,346.0,219.70510728991752,4970,-35.768812877263585,-16.0,61.59085941740554,4970,-0.0224405906798253,-0.00502268808538014,0.114746368384763,4970,0.009519818892071786,0.0009600855345910375,0.08134941602856084,4970,-0.006253230401481746,-0.0002091853320302095,0.050714015526186394,4970,355.74688128772635,314.0,176.70476016045757,4970,0.9756539235412475,1.0,0.15413670986083694,4970,0.5450704225352113,1.0,0.4980146184032266,4970,0.635010060362173,1.0,0.4814757805418009
Qwen3-32B,authoritarian_left,not_comparable,300,428.49333333333334,355.0,278.75947716490833,300,-33.27333333333333,-16.5,62.02210164554776,300,-0.014318201015562849,-0.003269601467024546,0.08013640086902366,300,0.005365623126677243,0.0005047378585705808,0.06176144464369333,0,,,,300,375.27666666666664,321.0,229.03403404602022,300,0.9733333333333334,1.0,0.16137646493112853,300,0.7433333333333333,1.0,0.43752368943667863,300,0.62,1.0,0.4861974494649479
Qwen3-32B,authoritarian_left,think_harm,1378,499.80261248185775,423.5,289.5222096562499,1378,-39.06023222060958,-14.0,74.12358911880266,1378,-0.032713310532725144,-0.00995443606150433,0.1564826629030307,1378,0.019552463189447176,0.0020847252254019843,0.12788281023780235,1378,-0.41706829200469264,-0.4008249429077173,0.16549451519568043,1378,438.75544267053704,382.0,233.19968563431192,1378,0.9905660377358491,1.0,0.09670444191131242,1378,0.6937590711175616,1.0,0.46109837608338317,1378,0.6574746008708273,1.0,0.47472654790690155
Qwen3-32B,authoritarian_left,think_rescue,1992,523.8453815261045,466.0,269.8049934563442,1992,-37.53714859437751,-13.0,69.53010560640169,1992,-0.038650116761709055,-0.011182814305613572,0.15274067489076154,1992,0.01973343590836742,0.002367974804792894,0.12430902436768324,1992,0.4788367981319841,0.408871240806235,0.24055398839220637,1992,459.4864457831325,413.0,217.91213011452092,1992,0.9904618473895582,1.0,0.09722099153773786,1992,0.7615461847389559,1.0,0.42624500053097536,1992,0.6159638554216867,1.0,0.48648863817836535
Qwen3-32B,authoritarian_right,both_aligned,14345,399.1478563959568,362.0,189.697015554549,14345,-29.680237016382016,-11.0,60.030201456840324,14345,-0.01803740960847253,-0.004508101793998472,0.08845437506937928,14345,0.006355525927661226,0.0008840127447895529,0.05697159116977154,14345,0.008446058501178666,0.00023681940094100185,0.055924871208637386,14345,348.2055768560474,315.0,157.02039308663612,14345,0.9723248518647613,1.0,0.16404606152932885,14345,0.5401185081910074,1.0,0.49840527884827873,14345,0.6850470547229,1.0,0.46451332510438215
Qwen3-32B,authoritarian_right,both_unaligned,1566,474.61366538952745,418.5,246.59366179360728,1566,-32.724137931034484,-14.0,60.19526706786326,1566,-0.018588134216979225,-0.005288976132118485,0.12511054031110883,1566,0.006904711375363449,0.0011528293921099775,0.10197800089630878,1566,-0.009904767755236731,-0.00030329297824070733,0.08961346793293833,1566,411.86015325670496,362.0,201.53312759110804,1566,0.9936143039591315,1.0,0.07968044420205785,1566,0.6257982120051085,1.0,0.4840706997151135,1566,0.6685823754789272,1.0,0.4708731966584531
Qwen3-32B,authoritarian_right,not_comparable,300,531.4133333333333,470.5,266.76322438040125,300,-45.343333333333334,-19.5,72.13253401737742,300,-0.025041883224579727,-0.004936581002167118,0.1283903317635718,300,0.013514581165710637,0.0010181500803588817,0.106197295643531,0,,,,300,468.2266666666667,430.0,209.35850887816298,300,0.9933333333333333,1.0,0.0815130058495636,300,0.9,1.0,0.30050125348238016,300,0.6366666666666667,1.0,0.48176329783344163
