scope,ideology,phrase,ngram_n,discovery_log_odds,confirmation_log_odds,same_direction,target_confirmation_df,other_confirmation_df,target_confirmation_rate,other_confirmation_rate,odds_ratio,p_value,q_value_bh,confirmed_q05
all,authoritarian_left,rights to,2,6.2989560108326135,6.576961209692041,True,119,0,0.001888888888888889,0.0,inf,2.082249536881575e-72,3.4313993847427136e-72,True
all,authoritarian_left,authoritarian left view,3,6.4039700498143866,6.5685418960935875,True,118,0,0.001873015873015873,0.0,inf,8.340720362601902e-72,1.3505178028980404e-71,True
all,authoritarian_left,left regimes,2,6.276567484802763,6.5685418960935875,True,118,0,0.001873015873015873,0.0,inf,8.340720362601902e-72,1.3505178028980404e-71,True
all,authoritarian_left,authoritarian left regimes,3,6.276567484802763,6.5685418960935875,True,118,0,0.001873015873015873,0.0,inf,8.340720362601902e-72,1.3505178028980404e-71,True
all,authoritarian_left,authoritarian left sees,3,6.443081870497801,6.551488403678686,True,116,0,0.0018412698412698413,0.0,inf,1.33822638359572e-70,2.1357939703805617e-70,True
all,authoritarian_left,rights of all,3,6.433445791966204,6.551488403678686,True,116,0,0.0018412698412698413,0.0,inf,1.33822638359572e-70,2.1357939703805617e-70,True
all,authoritarian_left,of the proletariat,3,7.539571621990147,6.5436204378585705,True,345,1,0.0054761904761904765,5.291005291005291e-06,1040.6935599712713,2.494320015776166e-206,1.006765397671974e-205,True
all,authoritarian_left,truly socialist,2,6.525883233639275,6.542851758591366,True,115,0,0.0018253968253968255,0.0,inf,5.3602473186003814e-70,8.481982262671626e-70,True
all,authoritarian_left,dismantling of systemic,3,7.155066235663712,6.516486745660948,True,112,0,0.0017777777777777779,0.0,inf,3.4444466148653933e-68,5.299880564861945e-68,True
all,authoritarian_left,authoritarian left vision,3,6.6105278127773,6.480220094386079,True,108,0,0.0017142857142857142,0.0,inf,8.863932131245027e-66,1.330784419704442e-65,True
all,authoritarian_left,lgbtq rights,2,6.525883233639275,6.4709448689526115,True,107,0,0.0016984126984126984,0.0,inf,3.550096920762229e-65,5.301351165856733e-65,True
all,authoritarian_left,authoritarian left proponent,3,6.3208560336827295,6.4615831067665095,True,106,0,0.0016825396825396826,0.0,inf,1.421833742119346e-64,2.1062803041502013e-64,True
all,authoritarian_left,authoritarian left therefore,3,6.276567484802763,6.452133175018086,True,105,0,0.0016666666666666668,0.0,inf,5.694456005531901e-64,8.413294416661191e-64,True
all,authoritarian_left,authoritarian left's vision,3,6.5606012291935,6.36282214618593,True,96,0,0.0015238095238095239,0.0,inf,1.5088634675359374e-58,2.1330887091815157e-58,True
