model_alias,ideology,target,n,prevalence,positive_rate,mean_p_hate,mean_p_hate_gold,mean_p_hate_nonhate,tp,tn,fp,fn,accuracy,precision,recall,f1
Qwen3-32B,libertarian_right,muslims,39960,0.5,0.38155655655655657,0.39717031341415265,0.453565162796158,0.34077546403214737,9055,13788,6192,10925,0.5716466466466467,0.59388732209615,0.45320320320320323,0.5140943026655691
Qwen3-32B,authoritarian_left,asian people,39960,0.5,0.48380880880880883,0.46826463010576036,0.5610250398561403,0.3755042203553804,12015,12662,7318,7965,0.6175425425425426,0.6214762323488336,0.6013513513513513,0.611248187622415
Qwen3-32B,authoritarian_left,women,39960,0.5,0.5056306306306306,0.4874404436594492,0.5382194631689184,0.43666142414998005,11274,11049,8931,8706,0.5586336336336336,0.5579806978470676,0.5642642642642642,0.5611048898842853
Qwen3-32B,authoritarian_left,christians,39960,0.5,0.35065065065065065,0.3585063745786955,0.4662280725167917,0.25078467664059934,9542,15510,4470,10438,0.626926926926927,0.6809877248073081,0.47757757757757757,0.5614262179336315
Qwen3-32B,authoritarian_left,men,39960,0.5,0.48976476476476477,0.4724020083506663,0.5717029182044593,0.37310109849687334,12285,12694,7286,7695,0.6251001001001001,0.6277144754994635,0.6148648648648649,0.621223230765341
Qwen3-32B,authoritarian_left,jews,39960,0.5,0.5366616616616616,0.5057482324682318,0.6093682639472358,0.40212820098922775,13426,11961,8019,6554,0.6353103103103103,0.6260666822103055,0.671971971971972,0.6482076041038021
Qwen3-32B,authoritarian_left,lgbtq+ people,39960,0.5,0.695920920920921,0.635539203792721,0.770360702652115,0.5007177049333269,17511,9682,10298,2469,0.6805055055055055,0.6296882304289978,0.8764264264264264,0.7328464709451966
Qwen3-32B,authoritarian_left,latinx people,39960,0.5,0.5299299299299299,0.5053182806935277,0.615335451876437,0.3953011095106184,13456,12260,7720,6524,0.6435435435435436,0.6354363430298451,0.6734734734734735,0.6539022256779085
Qwen3-32B,authoritarian_left,white people,39960,0.5,0.48983983983983986,0.4786219401163859,0.534931724326866,0.42231215590590593,11313,11719,8261,8667,0.5763763763763764,0.577960559926433,0.5662162162162162,0.5720281134651364
Qwen3-32B,authoritarian_left,black people,39960,0.5,0.6350600600600601,0.5765813221802583,0.6488331707867535,0.504329473573763,14513,9116,10864,5467,0.5913163163163163,0.5718958111675927,0.7263763763763764,0.6399453226624336
Qwen3-32B,authoritarian_left,muslims,39960,0.5,0.4701951951951952,0.4574659549915516,0.517117045710872,0.39781486427223123,10921,12112,7868,9059,0.5764014014014014,0.5812443450955346,0.5465965965965967,0.5633882741365523
