level,ideology,metric,metric_type,n_pairs,n_design_clusters,normal_mean,abliterated_mean,difference_abliterated_minus_normal,cluster_robust_ci_low,cluster_robust_ci_high,cluster_mean_ttest_p,q_bh_within_level
configuration,authoritarian_left,target_alignment_rate,continuous,300,300,0.6118817204301075,0.6372043010752688,0.025322580645161286,0.02000968621993998,0.03063547507038259,2.2623508261646145e-18,8.672344833631023e-18
configuration,authoritarian_left,mean_target_projection,continuous,300,300,0.11832734120542526,0.13193115464605104,0.013603813440625783,0.01056360314348459,0.016644023737766977,1.378192663091478e-16,4.1345779892744343e-16
configuration,authoritarian_left,stage1_stage2_agreement,continuous,300,300,0.9016666666666666,0.9139784946236561,0.012311827956989247,0.005576131114587428,0.019047524799391067,0.00039702800615093724,0.0007404035790382343
configuration,authoritarian_left,mean_entropy,continuous,300,300,0.022049963332069444,0.019614164020588187,-0.0024357993114812607,-0.004540962547066934,-0.0003306360758955876,0.024052490361096926,0.03457545489407683
configuration,authoritarian_left,target_quadrant_correct,continuous,300,300,0.57,0.6866666666666666,0.11666666666666667,0.07584152813556994,0.1574918051977634,4.829508172988255e-08,1.0749550449554504e-07
configuration,authoritarian_left,target_axis_projection,continuous,300,300,7.186643052520494,8.016475672398668,0.8298326198781727,0.6443797917525599,1.0152854480037856,1.378192663091478e-16,4.1345779892744343e-16
configuration,authoritarian_left,distance_from_origin,continuous,300,300,7.209793383137285,7.468587437762211,0.2587940546249261,0.13098769668164265,0.38660041256820954,9.05169182387299e-05,0.00017349075995756562
configuration,authoritarian_right,economic,continuous,300,300,4.690306455991594,4.513675373321842,-0.17663108266975244,-0.31284271466545244,-0.04041945067405245,0.011539175576953976,0.01851635150720522
configuration,authoritarian_right,social,continuous,300,300,5.729137538825008,5.850645163314475,0.1215076244894676,-0.00020776813095077507,0.24322301710988598,0.05131865019120469,0.0668110728904363
configuration,authoritarian_right,mean_stage1_tokens,continuous,300,300,232.19290322580648,202.16887096774195,-30.024032258064516,-36.3308836410681,-23.717180875060933,2.455108762738194e-18,8.915921296259757e-18
configuration,authoritarian_right,mean_visible_words,continuous,300,300,170.68887096774193,147.362688172043,-23.326182795698923,-28.066780683064678,-18.585584908333168,2.4344096469893763e-19,1.1198284376151131e-18
configuration,authoritarian_right,target_alignment_rate,continuous,300,300,0.7731182795698924,0.7763978494623656,0.003279569892473122,-0.0024188886400242785,0.008978028424970523,0.2602171450366632,0.2943439837299961
configuration,authoritarian_right,mean_target_projection,continuous,300,300,0.1702985255206757,0.1693948622718186,-0.0009036632488571262,-0.004132023793128518,0.002324697295414266,0.583667852153399,0.6292669031028832
configuration,authoritarian_right,stage1_stage2_agreement,continuous,300,300,0.8918279569892472,0.9120967741935484,0.02026881720430108,0.011895352529212986,0.028642281879389178,3.2447848851895185e-06,6.7845502144871755e-06
configuration,authoritarian_right,mean_entropy,continuous,300,300,0.021859846668835753,0.019198871731071217,-0.0026609749377645383,-0.005181122432639124,-0.00014082744288995306,0.03935549685338466,0.053245672213402775
configuration,authoritarian_right,target_quadrant_correct,continuous,300,300,0.9266666666666666,0.9533333333333334,0.02666666666666667,0.004199135612035384,0.049134197721297956,0.020669754085493007,0.03034495812551101
configuration,authoritarian_right,target_axis_projection,continuous,300,300,10.419443994816602,10.364320536636317,-0.05512345818028481,-0.25205345138083973,0.14180653502027013,0.583667852153398,0.6292669031028832
configuration,authoritarian_right,distance_from_origin,continuous,300,300,7.892717718861619,7.804560062497575,-0.08815765636404417,-0.21416839601784254,0.03785308328975419,0.17133323921576782,0.20740339484014
configuration,base,economic,continuous,300,300,-1.6032022501732597,-1.3851920249405698,0.2180102252326896,0.044566988705118715,0.39145346176026047,0.014316662225297537,0.02195221541212289
configuration,base,social,continuous,300,300,-1.8352916103914323,-1.406115989385585,0.429175621005847,0.3013095842532032,0.5570416577584908,2.1204899904681427e-10,5.419029975640809e-10
configuration,base,mean_stage1_tokens,continuous,300,300,232.94483870967738,214.18075268817202,-18.764086021505374,-21.447069584966783,-16.081102458043965,1.6165376817486773e-33,9.660621360807963e-33
configuration,base,mean_visible_words,continuous,300,300,167.64198924731184,152.8075806451613,-14.834408602150537,-16.77182340396109,-12.896993800339985,2.4594221765133475e-38,2.8283355029903494e-37
configuration,base,stage1_stage2_agreement,continuous,300,300,0.8179569892473117,0.8327956989247312,0.014838709677419354,0.006034044016212062,0.023643375338626645,0.0010718628757008834,0.0018489634605840237
configuration,base,mean_entropy,continuous,300,300,0.03877718172205532,0.03542527214906548,-0.0033519095729898367,-0.0074546077310046165,0.0007507885850249426,0.11036146705742465,0.13598109333861252
configuration,base,distance_from_origin,continuous,300,300,4.401719891019345,3.9450408678186517,-0.45667902320069337,-0.6077739886808088,-0.30558405772057795,8.629433486795592e-09,2.0532100365134338e-08
configuration,centrism,economic,continuous,300,300,-1.3190469042976367,-1.1880576311194742,0.1309892731781624,0.0022027500132706657,0.25977579634305414,0.04711245032098773,0.06251459754131064
configuration,centrism,social,continuous,300,300,-2.662915533897238,-1.8546245044392777,0.8082910294579607,0.718510993110389,0.8980710658055324,2.980708587711801e-48,5.141722313802856e-47
configuration,centrism,mean_stage1_tokens,continuous,300,300,242.46354838709678,225.01774193548383,-17.445806451612903,-19.813366505473883,-15.078246397751922,3.11547633323963e-36,2.687098337419181e-35
configuration,centrism,mean_visible_words,continuous,300,300,177.81268817204304,163.9559677419355,-13.856720430107526,-15.6165377539003,-12.096903106314752,6.29472340149222e-40,8.686718294059265e-39
configuration,centrism,stage1_stage2_agreement,continuous,300,300,0.8558602150537634,0.87,0.014139784946236557,0.008041050392708238,0.020238519499764875,8.01249785540749e-06,1.626065741244461e-05
configuration,centrism,mean_entropy,continuous,300,300,0.027824353582823372,0.027884861998768783,6.0508415945415003e-05,-0.0025578848851008015,0.002678901716991632,0.9639035124244563,0.9718914676709786
configuration,centrism,distance_from_origin,continuous,300,300,3.5066502905472223,2.9815439052736474,-0.525106385273575,-0.6413592020147704,-0.4088535685323797,7.660547860049989e-17,2.5170371540164246e-16
configuration,libertarian_left,economic,continuous,300,300,-4.107149925087916,-4.145228053893693,-0.038078128805777475,-0.17897657263804223,0.10282031502648727,0.5967168342958945,0.6334378702525649
configuration,libertarian_left,social,continuous,300,300,-7.290075038096305,-7.056407115621278,0.23366792247502702,0.14115916367963738,0.32617668127041666,1.2374310060372542e-06,2.6682106067678293e-06
configuration,libertarian_left,mean_stage1_tokens,continuous,300,300,259.238064516129,238.16430107526878,-21.073763440860215,-24.033374946374018,-18.114151935346413,1.968641626450423e-34,1.3583627222507918e-33
configuration,libertarian_left,mean_visible_words,continuous,300,300,188.06612903225806,171.8004301075269,-16.265698924731186,-18.42327233678434,-14.108125512678034,1.790052785477722e-37,1.7644806028280405e-36
configuration,libertarian_left,target_alignment_rate,continuous,300,300,0.8130107526881721,0.8098387096774193,-0.0031720430107526846,-0.00810191318984928,0.00175782716834391,0.2082453157756732,0.2477401170434733
configuration,libertarian_left,mean_target_projection,continuous,300,300,0.187351785266223,0.18414539520607137,-0.003206390060151634,-0.0061020490275493396,-0.0003107310927539285,0.0307690834680625,0.04246133518592645
configuration,libertarian_left,stage1_stage2_agreement,continuous,300,300,0.8916129032258066,0.9028494623655915,0.01123655913978495,0.004194230170558703,0.018278888109011196,0.001937756999667343,0.0032611032433426017
configuration,libertarian_left,mean_entropy,continuous,300,300,0.02103740077383903,0.02085413451837442,-0.000183266255464615,-0.0024678850573348747,0.002101352546405645,0.8751727224377707,0.9149533007303966
configuration,libertarian_left,target_quadrant_correct,continuous,300,300,0.9466666666666667,0.9566666666666667,0.01,-0.009599999999999992,0.029599999999999994,0.3181190974788843,0.3540357697748873
configuration,libertarian_left,target_axis_projection,continuous,300,300,11.39722496318422,11.201635169514972,-0.1955897936692495,-0.3722249906805095,-0.01895459665798946,0.030769083468062643,0.04246133518592645
