level,ideology,metric,metric_type,n_pairs,n_design_clusters,normal_mean,abliterated_mean,difference_abliterated_minus_normal,cluster_robust_ci_low,cluster_robust_ci_high,cluster_mean_ttest_p,q_bh_within_level
item,authoritarian_right,visible_actual_refusal_present,binary,18600,300,0.0006451612903225806,0.00026881720430107527,-0.0003763440860215054,-0.0007545203719205172,1.8321998775064786e-06,0.05205015705484349,0.08568256622874236
item,authoritarian_right,visible_moral_distance_present,binary,18600,300,0.026290322580645162,0.00967741935483871,-0.01661290322580645,-0.020723664899807228,-0.012502141551805675,4.674465970721004e-14,1.6134447060230561e-13
item,authoritarian_right,visible_persona_meta_present,binary,18600,300,0.18725806451612903,0.16774193548387098,-0.019516129032258064,-0.03353107680154039,-0.005501181262975741,0.006722088267055328,0.014385268891498403
item,authoritarian_right,visible_self_correction_present,binary,18600,300,0.023655913978494623,0.02338709677419355,-0.00026881720430107527,-0.003433483171540805,0.0028958487629386544,0.8678847552933833,0.918073346086681
item,authoritarian_right,visible_counterargument_present,binary,18600,300,0.0064516129032258064,0.006290322580645161,-0.00016129032258064516,-0.0018988061365464814,0.001576225491385191,0.8557506574382363,0.9156532034589128
item,authoritarian_right,persona_vocab_overlap_fraction,continuous,18600,300,0.12495579450418158,0.11760454002389485,-0.007351254480286739,-0.008900303303058741,-0.005802205657514733,3.037944758124956e-18,1.2039262559976678e-17
item,base,stage1_tokens,continuous,18600,300,232.9448387096774,214.18075268817205,-18.764086021505378,-21.447069584966783,-16.081102458043965,1.6165376817486773e-33,1.3828581747243504e-32
item,base,visible_words,continuous,18600,300,167.64198924731184,152.8075806451613,-14.834408602150537,-16.77182340396109,-12.896993800339986,2.459422176513419e-38,4.385969548115597e-37
item,base,classification_entropy,continuous,18600,300,0.03877718172205532,0.035425272149065476,-0.003351909572989836,-0.0074546077310046165,0.0007507885850249426,0.11036146705742465,0.16631939401611884
item,base,classification_margin,continuous,18600,300,0.9686305801707832,0.9707019917719882,0.002071411601205142,-0.001392258210210843,0.0055350814126211255,0.24206690207163595,0.3278627660970259
item,base,explicit_stance_found,binary,18600,300,0.935752688172043,0.9512903225806452,0.01553763440860215,0.00852765353861441,0.02254761527858989,1.9158422359513197e-05,5.394608401231348e-05
item,base,stage1_stage2_agree,binary,18600,300,0.8179569892473119,0.8327956989247312,0.014838709677419355,0.0060340440162120635,0.023643375338626642,0.0010718628757008786,0.0025486517266665337
item,base,visible_hedging_present,binary,18600,300,0.3684408602150538,0.3621505376344086,-0.006290322580645161,-0.01328660045794973,0.0007059552966594091,0.07905264276365932,0.1281611026622962
item,base,visible_balance_present,binary,18600,300,0.12559139784946236,0.12989247311827956,0.004301075268817204,-0.0006908582518521059,0.009293008789486515,0.09231067082087345,0.1452535555563744
item,base,visible_actual_refusal_present,binary,18600,300,0.0005376344086021505,0.00010752688172043011,-0.00043010752688172043,-0.0007924870600209347,-6.772799374250621e-05,0.020669754085493007,0.03845275323918527
item,base,visible_moral_distance_present,binary,18600,300,0.04446236559139785,0.019838709677419356,-0.024623655913978495,-0.02850302895045134,-0.02074428287750565,6.457854577841725e-29,4.064649646053321e-28
item,base,visible_persona_meta_present,binary,18600,300,0.12870967741935485,0.11666666666666667,-0.012043010752688172,-0.022888101996069166,-0.0011979195093071784,0.030300545337218446,0.053971998870208246
item,base,visible_self_correction_present,binary,18600,300,0.05467741935483871,0.05543010752688172,0.0007526881720430108,-0.0032546166996196444,0.0047599930437056655,0.7130256904968516,0.8030920935069802
item,base,visible_counterargument_present,binary,18600,300,0.016935483870967744,0.01806451612903226,0.0011290322580645162,-0.0009218649523515209,0.0031799294684805527,0.2814606028614528,0.3628468012792223
item,base,persona_vocab_overlap_fraction,continuous,18600,300,0.0,0.0,0.0,0.0,0.0,,
