feature,model_variant,family,protocol,size_b,regime,analysis_scope,questions,informative_questions,substantive_pockets,right_more_pockets,left_more_pockets,mean_risk_difference,median_risk_difference,max_abs_risk_difference,informative_fraction,pocket_fraction_of_informative
self_correction,Qwen3-32B_no_think,Qwen3,no_think,32.0,authoritarian,primary,62,0,0,0,0,0.0010215053763440861,0.0,0.013333333333333334,0.0,
self_correction,Qwen3-32B_no_think,Qwen3,no_think,32.0,libertarian,primary,62,1,0,0,0,0.0014516129032258063,0.0,0.03666666666666667,0.016129032258064516,0.0
self_correction,Qwen3-32B_think,Qwen3,think,32.0,authoritarian,primary,62,0,0,0,0,-6.994852725712932e-21,0.0,0.01,0.0,
self_correction,Qwen3-32B_think,Qwen3,think,32.0,libertarian,primary,62,1,1,1,0,0.0007526881720430108,0.0,0.05333333333333334,0.016129032258064516,1.0
self_correction,Qwen3-4B_no_think,Qwen3,no_think,4.0,authoritarian,primary,62,1,0,0,0,-0.00016129032258064516,0.0,0.03666666666666667,0.016129032258064516,0.0
self_correction,Qwen3-4B_no_think,Qwen3,no_think,4.0,libertarian,primary,62,1,1,1,0,0.0009677419354838709,0.0,0.11333333333333333,0.016129032258064516,1.0
self_correction,Qwen3-4B_think,Qwen3,think,4.0,authoritarian,primary,62,0,0,0,0,5.376344086021507e-05,0.0,0.01,0.0,
self_correction,Qwen3-4B_think,Qwen3,think,4.0,libertarian,primary,62,0,0,0,0,0.00010752688172043012,0.0,0.01,0.0,
self_correction,Qwen3-8B_no_think,Qwen3,no_think,8.0,authoritarian,primary,62,0,0,0,0,0.0022580645161290325,0.0,0.016666666666666666,0.0,
self_correction,Qwen3-8B_no_think,Qwen3,no_think,8.0,libertarian,primary,62,2,1,0,1,0.0005913978494623658,0.0,0.06666666666666667,0.03225806451612903,0.5
self_correction,Qwen3-8B_think,Qwen3,think,8.0,authoritarian,primary,62,0,0,0,0,-5.376344086021505e-05,0.0,0.013333333333333334,0.0,
self_correction,Qwen3-8B_think,Qwen3,think,8.0,libertarian,primary,62,0,0,0,0,0.0004301075268817205,0.0,0.013333333333333334,0.0,
self_correction,gemma-3-12b-it,Gemma-3,standard,12.0,authoritarian,primary,62,2,0,0,0,-0.0009677419354838711,-0.0033333333333333335,0.04666666666666667,0.03225806451612903,0.0
self_correction,gemma-3-12b-it,Gemma-3,standard,12.0,libertarian,primary,62,6,2,0,2,-0.007526881720430108,-0.0033333333333333335,0.12,0.0967741935483871,0.3333333333333333
self_correction,gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian,primary,62,0,0,0,0,0.0016129032258064516,0.0,0.023333333333333334,0.0,
self_correction,gemma-3-1b-it,Gemma-3,standard,1.0,libertarian,primary,62,0,0,0,0,-0.0016666666666666666,0.0,0.03,0.0,
self_correction,gemma-3-27b-it,Gemma-3,standard,27.0,authoritarian,primary,62,3,0,0,0,-0.0016129032258064518,-0.0033333333333333335,0.05333333333333334,0.04838709677419355,0.0
self_correction,gemma-3-27b-it,Gemma-3,standard,27.0,libertarian,primary,62,17,3,1,2,-0.0070967741935483875,-0.0033333333333333335,0.12,0.27419354838709675,0.17647058823529413
self_correction,gemma-3-4b-it,Gemma-3,standard,4.0,authoritarian,primary,62,3,0,0,0,-0.01064516129032258,-0.006666666666666667,0.07333333333333333,0.04838709677419355,0.0
self_correction,gemma-3-4b-it,Gemma-3,standard,4.0,libertarian,primary,62,15,11,1,10,-0.027419354838709678,-0.02666666666666667,0.13666666666666666,0.24193548387096775,0.7333333333333333
